               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027148,            0.017767,              0.0239,             0.83553,             0.82768,             0.88049,              0.6705,            0.019177,           0.0094618,            0.019973,            0.006436,            0.006436,            0.006436
                  38,            0.027528,            0.017377,            0.023395,             0.82155,             0.84176,             0.87867,             0.67075,            0.019213,           0.0094792,            0.019726,            0.006337,            0.006337,            0.006337
                  39,            0.027001,            0.017606,            0.022786,             0.82741,             0.84618,             0.88619,             0.68122,            0.018865,           0.0093304,            0.018874,            0.006238,            0.006238,            0.006238
                  40,            0.027136,            0.017518,             0.02285,             0.85311,             0.84378,              0.8942,             0.68517,            0.018871,           0.0093389,            0.018279,            0.006139,            0.006139,            0.006139
                  41,            0.026966,            0.017378,            0.021948,             0.84363,              0.8545,             0.89539,             0.68569,            0.018872,           0.0092966,            0.018149,             0.00604,             0.00604,             0.00604
                  42,            0.026424,            0.017221,            0.021842,             0.83173,             0.85652,             0.88925,              0.6837,            0.018704,           0.0093096,            0.018488,            0.005941,            0.005941,            0.005941
                  43,            0.026449,            0.017199,            0.021274,             0.85173,             0.84241,             0.89696,             0.69257,            0.018526,           0.0092925,            0.018205,            0.005842,            0.005842,            0.005842
                  44,            0.026374,            0.017293,            0.021197,             0.85139,             0.83754,              0.8924,             0.69024,            0.018547,           0.0092432,            0.018104,            0.005743,            0.005743,            0.005743
                  45,            0.026406,            0.017242,            0.020878,             0.85594,             0.84579,             0.89674,             0.69246,            0.018502,           0.0092763,            0.017859,            0.005644,            0.005644,            0.005644
                  46,            0.026083,            0.017109,            0.020135,             0.85334,             0.85079,             0.89975,             0.69658,            0.018404,           0.0092039,            0.017602,            0.005545,            0.005545,            0.005545
                  47,            0.026066,            0.017077,            0.020031,             0.86791,             0.83963,             0.90004,             0.69921,             0.01824,           0.0092027,            0.017199,            0.005446,            0.005446,            0.005446
                  48,            0.025993,            0.017129,            0.019647,             0.85708,              0.8579,             0.89912,              0.6989,            0.018127,           0.0091212,            0.017353,            0.005347,            0.005347,            0.005347
                  49,            0.025745,             0.01674,            0.019492,             0.86808,             0.84423,             0.90121,             0.70146,            0.018074,           0.0091477,            0.017187,            0.005248,            0.005248,            0.005248
                  50,            0.025466,             0.01711,            0.019065,             0.86573,               0.841,             0.90168,             0.70229,            0.018105,           0.0091435,            0.017135,            0.005149,            0.005149,            0.005149
                  51,             0.02574,            0.016711,             0.01908,             0.84888,             0.85927,             0.90356,             0.70695,             0.01803,           0.0091308,             0.01686,             0.00505,             0.00505,             0.00505
                  52,            0.025331,            0.016832,            0.018674,             0.87504,             0.85641,             0.90697,             0.71006,            0.017919,           0.0091007,            0.016507,            0.004951,            0.004951,            0.004951
                  53,            0.025467,            0.016699,             0.01795,             0.86829,             0.85558,             0.90587,             0.71011,            0.017886,           0.0090619,            0.016657,            0.004852,            0.004852,            0.004852
                  54,            0.025041,             0.01666,            0.018036,             0.87402,             0.84925,             0.90167,             0.70772,            0.017808,           0.0090786,            0.016772,            0.004753,            0.004753,            0.004753
                  55,            0.024925,            0.016768,             0.01764,             0.87517,             0.84611,             0.90251,             0.70493,             0.01781,           0.0090757,            0.016777,            0.004654,            0.004654,            0.004654
                  56,            0.024752,             0.01668,            0.017332,             0.87168,             0.85557,             0.90326,             0.70851,             0.01775,           0.0091105,             0.01687,            0.004555,            0.004555,            0.004555
                  57,            0.024797,            0.016614,            0.017235,             0.86402,             0.86107,             0.90542,             0.70822,            0.017803,           0.0090783,            0.016538,            0.004456,            0.004456,            0.004456
                  58,            0.024601,            0.016707,            0.017046,             0.87865,             0.85973,             0.90857,             0.71283,            0.017723,           0.0090339,            0.015815,            0.004357,            0.004357,            0.004357
                  59,            0.024522,            0.016484,            0.016877,             0.87727,             0.86269,             0.91096,             0.71526,            0.017719,           0.0090159,            0.016071,            0.004258,            0.004258,            0.004258
                  60,            0.024344,            0.016391,            0.016614,             0.88016,             0.85589,             0.90933,             0.71514,            0.017637,           0.0090224,             0.01585,            0.004159,            0.004159,            0.004159
                  61,            0.024323,            0.016277,            0.016517,             0.87327,             0.86845,             0.90809,             0.71401,            0.017576,            0.008993,            0.015861,             0.00406,             0.00406,             0.00406
                  62,            0.023954,            0.016276,            0.015969,             0.87134,             0.86721,             0.91106,             0.71584,            0.017587,           0.0089828,            0.015847,            0.003961,            0.003961,            0.003961
                  63,            0.024042,            0.016526,            0.015836,             0.87108,             0.86596,              0.9113,             0.71886,            0.017568,           0.0089668,             0.01579,            0.003862,            0.003862,            0.003862
                  64,            0.024055,            0.016224,             0.01558,             0.87834,             0.86973,             0.91052,             0.71833,            0.017591,           0.0089643,            0.015755,            0.003763,            0.003763,            0.003763
                  65,            0.023704,            0.016272,            0.015139,             0.87556,             0.86247,             0.91067,             0.71927,            0.017563,           0.0089483,            0.016095,            0.003664,            0.003664,            0.003664
                  66,            0.023663,            0.016114,            0.014991,             0.88361,             0.85971,              0.9097,             0.71814,            0.017536,           0.0089247,            0.015943,            0.003565,            0.003565,            0.003565
                  67,            0.023554,            0.016166,            0.014782,             0.88135,             0.86487,             0.91026,             0.71883,            0.017508,           0.0089365,            0.015934,            0.003466,            0.003466,            0.003466
                  68,            0.023326,            0.016192,            0.014455,             0.88554,             0.86409,             0.91075,             0.72045,            0.017442,             0.00891,            0.015762,            0.003367,            0.003367,            0.003367
                  69,            0.023162,            0.016079,            0.014185,             0.87258,              0.8755,             0.91212,             0.72172,            0.017364,           0.0088868,            0.015728,            0.003268,            0.003268,            0.003268
                  70,            0.023017,            0.016058,            0.013931,             0.88657,             0.86527,              0.9105,             0.72125,            0.017363,           0.0088928,            0.015708,            0.003169,            0.003169,            0.003169
                  71,            0.023095,            0.016055,            0.013836,             0.88695,              0.8667,             0.91307,             0.72305,             0.01736,           0.0089091,            0.015563,             0.00307,             0.00307,             0.00307
                  72,            0.022683,            0.015872,            0.013656,             0.89181,             0.86451,             0.91254,             0.72328,            0.017343,           0.0088951,            0.015697,            0.002971,            0.002971,            0.002971
                  73,            0.022611,            0.016012,             0.01321,             0.89697,             0.86086,             0.91171,             0.72383,            0.017326,           0.0088925,            0.015851,            0.002872,            0.002872,            0.002872
                  74,            0.022372,            0.015748,            0.013108,             0.89278,             0.86083,             0.91249,             0.72418,            0.017242,           0.0088713,            0.015633,            0.002773,            0.002773,            0.002773
                  75,            0.022458,            0.015904,            0.012995,             0.89157,             0.85995,             0.91282,             0.72431,             0.01724,           0.0088541,            0.015619,            0.002674,            0.002674,            0.002674
                  76,            0.022324,            0.015572,            0.012871,             0.88654,             0.86075,             0.91275,             0.72618,            0.017222,           0.0088384,             0.01559,            0.002575,            0.002575,            0.002575
                  77,            0.021802,            0.015465,            0.012599,             0.89111,             0.85838,             0.91315,             0.72532,            0.017175,            0.008837,            0.015684,            0.002476,            0.002476,            0.002476
                  78,            0.021811,            0.015439,            0.012318,             0.89155,             0.86169,             0.91281,             0.72544,            0.017138,           0.0088394,            0.015493,            0.002377,            0.002377,            0.002377
                  79,            0.021775,            0.015588,            0.011962,             0.87267,             0.87698,             0.91285,             0.72524,             0.01714,           0.0088388,            0.015485,            0.002278,            0.002278,            0.002278
                  80,            0.021644,            0.015447,            0.011714,             0.86542,             0.87896,             0.91354,              0.7252,            0.017133,           0.0088273,            0.015555,            0.002179,            0.002179,            0.002179
                  81,            0.021492,            0.015551,            0.011682,             0.87754,              0.8683,             0.91267,             0.72442,            0.017115,           0.0088122,            0.015587,             0.00208,             0.00208,             0.00208
                  82,            0.021206,            0.015419,            0.011358,              0.8716,             0.87075,             0.91239,              0.7241,            0.017119,           0.0088239,            0.015663,            0.001981,            0.001981,            0.001981
